profileID,token,statusID,appendDatetime
mpreitano,BC5D9C85-4514-49A8-86D8-378F5EE0F276,0,2021-06-27T09:08:00+01:00
mpreitano,BC5D9C85-4514-49A8-86D8-378F5EE0F276,1,2021-06-27T08:08:00+01:00
