dateid,areaID,activeCases
20220326,kp,2755
20220326,kr,3088
20220326,lj,10073
20220326,mb,5465
20220326,ms,2638
20220326,ng,3345
20220326,nm,3001
20220326,po,1185
20220326,sg,1486
20220326,si,39318
20220326,za,1058
20220325,ce,3728
20220325,kk,1216
20220325,kp,2755
20220325,kr,3085
20220325,lj,9996
20220325,mb,5465
20220325,ms,2624
20220325,ng,3340
20220325,nm,3009
20220325,po,1181
20220325,sg,1449
20220325,si,39113
20220325,za,1052
20220324,ce,3614
20220324,kk,1200
20220324,kp,2703
20220324,kr,2991
20220324,lj,9899
20220324,mb,5394
20220324,ms,2590
20220324,ng,3305
20220324,nm,2921
20220324,po,1190
20220324,sg,1403
20220324,si,38465
20220324,za,1048
20220323,ce,3514
20220323,kk,1154
20220323,kp,2649
20220323,kr,2953
20220323,lj,9762
20220323,mb,5279
20220323,ms,2517
20220323,ng,3251
20220323,nm,2867
20220323,po,1165
20220323,sg,1339
20220323,si,37816
20220323,za,1041
20220322,ce,3372
20220322,kk,1114
20220322,kp,2568
20220322,kr,2866
20220322,lj,9540
20220322,mb,5210
20220322,ms,2441
20220322,ng,3161
20220322,nm,2765
20220322,po,1159
20220322,sg,1277
20220322,si,36819
20220322,za,1022
20220321,ce,3221
20220321,kk,1060
20220321,kp,2490
20220321,kr,2737
20220321,lj,9233
20220321,mb,5067
20220321,ms,2403
20220321,ng,3023
20220321,nm,2688
20220321,po,1135
20220321,sg,1250
20220321,si,35640
20220321,za,1010
20220320,ce,3065
20220320,kk,1001
20220320,kp,2339
20220320,kr,2605
20220320,lj,8660
20220320,mb,4839
20220320,ms,2332
20220320,ng,2827
20220320,nm,2551
20220320,po,1103
20220320,sg,1158
20220320,si,33753
20220320,za,954
20220319,ce,3059
20220319,kk,1018
20220319,kp,2287
20220319,kr,2593
20220319,lj,8566
20220319,mb,4756
20220319,ms,2287
20220319,ng,2819
20220319,nm,2535
20220319,po,1093
20220319,sg,1127
20220319,si,33409
20220319,za,952
20220318,ce,3029
20220318,kk,1020
20220318,kp,2211
20220318,kr,2554
20220318,lj,8356
20220318,mb,4699
20220318,ms,2253
20220318,ng,2783
20220318,nm,2493
20220318,po,1077
20220318,sg,1123
20220318,si,32853
20220318,za,936
20220317,ce,2866
20220317,kk,975
20220317,kp,2101
20220317,kr,2435
20220317,lj,7931
20220317,mb,4523
20220317,ms,2194
20220317,ng,2627
20220317,nm,2418
20220317,po,1041
20220317,sg,1084
20220317,si,31422
20220317,za,903
20220316,ce,2750
20220316,kk,945
20220316,kp,1961
20220316,kr,2358
20220316,lj,7546
20220316,mb,4330
20220316,ms,2173
20220316,ng,2582
20220316,nm,2336
20220316,po,1031
20220316,sg,1045
20220316,si,30254
20220316,za,876
20220315,ce,2676
20220315,kk,921
20220315,kp,1794
20220315,kr,2290
20220315,lj,7211
20220315,mb,4161
20220315,ms,2116
20220315,ng,2438
20220315,nm,2210
20220315,po,1000
20220315,sg,1019
20220315,si,28979
20220315,za,829
20220314,ce,2613
20220314,kk,915
20220314,kp,1687
20220314,kr,2216
20220314,lj,6866
20220314,mb,3981
20220314,ms,2067
20220314,ng,2300
20220314,nm,2130
20220314,po,964
20220314,sg,1001
20220314,si,27853
20220314,za,799
20220313,ce,2522
20220313,kk,888
20220313,kp,1540
20220313,kr,2020
20220313,lj,6394
20220313,mb,3741
20220313,ms,2007
20220313,ng,2173
20220313,nm,1996
20220313,po,902
20220313,sg,931
20220313,si,26173
20220313,za,751
20220312,ce,2518
20220312,kk,886
20220312,kp,1504
20220312,kr,2037
20220312,lj,6338
20220312,mb,3640
20220312,ms,1974
20220312,ng,2178
20220312,nm,1984
20220312,po,884
20220312,sg,928
20220312,si,25919
20220312,za,740
20220311,ce,2532
20220311,kk,899
20220311,kp,1463
20220311,kr,2034
20220311,lj,6263
20220311,mb,3593
20220311,ms,1969
20220311,ng,2153
20220311,nm,1942
20220311,po,886
20220311,sg,923
20220311,si,25704
20220311,za,742
20220310,ce,2490
20220310,kk,907
20220310,kp,1404
20220310,kr,2009
20220310,lj,6066
20220310,mb,3558
20220310,ms,1957
20220310,ng,2124
20220310,nm,1906
20220310,po,849
20220310,sg,908
20220310,si,25228
20220310,za,747
20220309,ce,2483
20220309,kk,934
20220309,kp,1368
20220309,kr,1996
20220309,lj,5922
20220309,mb,3513
20220309,ms,1965
20220309,ng,2160
20220309,nm,1888
20220309,po,830
20220309,sg,917
20220309,si,24904
20220309,za,742
20220308,ce,2521
20220308,kk,966
20220308,kp,1383
20220308,kr,2013
20220308,lj,5860
20220308,mb,3478
20220308,ms,1996
20220308,ng,2193
20220308,nm,1899
