dateID,documentOrd,srcLink
20210214,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3083419:1613303841/Report%2068.pdf
20210213,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3082874:1613235084/Report%2067.pdf
20210213,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3082544:1613209116/Report%2066.pdf
20210212,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3081991:1613152327/Report%2065.pdf
20210212,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3081487:1613131645/Report%2064%20(1).pdf
20210211,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3080745:1613065013/Report%20(18).pdf
20210211,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3080221:1613044135/Report.pdf
20210210,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3079257:1612974002/Report%20(16).pdf
20210210,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3078946:1612957447/Report%20152.pdf
20210209,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3078162:1612889011/Report%20151.pdf
20210209,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3077725:1612874977/Report%20informatizzato_20210209_ore8.pdf
20210208,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3076900:1612803878/Report%20150.pdf
20210208,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3076353:1612786230/Report%20149.pdf
20210207,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3075649:1612714180/Report%20148.pdf
20210207,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3075369:1612694319/Report%20(9).pdf
20210206,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3074818:1612629971/166-2021%20Report%20(1).pdf
20210206,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3074471:1612611876/162-2021%20Report%20146.pdf
20210205,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3073659:1612545061/Report%20(7).pdf
20210205,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3073178:1612527746/Report%20(6).pdf
20210204,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3072326:1612459537/Report%20143.pdf
20210204,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3071639:1612442179/Report%20(4).pdf
20210203,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3071473:1612428756/Report%20(3)%20(1).pdf
20210203,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3070379:1612358217/Report%20142.pdf
20210202,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3069060:1612270761/Report%20140.pdf
20210201,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3068297:1612200451/Report%20139%20(1).pdf
20210201,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3067712:1612179658/Report%20138.pdf
20210131,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3067116:1612113458/Report%20137.pdf
