areaCode,areaName,srcCode
43,Austria,10
4301,Wien,9
4302,Niederösterreich,3
4303,Oberösterreich,4
4304,Steiermark,6
4305,Tirol,7
4306,Kärnten,2
4307,Salzburg,5
4308,Vorarlberg,8
4309,Burgenland,1
