dateid,areaID,confirmedCases
20210605,za,6942
20210604,ce,34033
20210604,kk,9899
20210604,kp,11350
20210604,kr,26653
20210604,lj,62750
20210604,mb,38133
20210604,ms,15881
20210604,ng,12496
20210604,nm,19591
20210604,po,6181
20210604,sg,9625
20210604,si,255226
20210604,za,6939
20210603,ce,34017
20210603,kk,9883
20210603,kp,11329
20210603,kr,26631
20210603,lj,62671
20210603,mb,38098
20210603,ms,15863
20210603,ng,12490
20210603,nm,19582
20210603,po,6170
20210603,sg,9621
20210603,si,254979
20210603,za,6930
20210602,ce,33985
20210602,kk,9869
20210602,kp,11320
20210602,kr,26590
20210602,lj,62584
20210602,mb,38055
20210602,ms,15853
20210602,ng,12482
20210602,nm,19568
20210602,po,6165
20210602,sg,9612
20210602,si,254699
20210602,za,6923
20210601,ce,33952
20210601,kk,9852
20210601,kp,11298
20210601,kr,26573
20210601,lj,62501
20210601,mb,38008
20210601,ms,15840
20210601,ng,12474
20210601,nm,19553
20210601,po,6157
20210601,sg,9610
20210601,si,254426
20210601,za,6916
20210531,ce,33924
20210531,kk,9836
20210531,kp,11279
20210531,kr,26537
20210531,lj,62350
20210531,mb,37962
20210531,ms,15818
20210531,ng,12467
20210531,nm,19531
20210531,po,6142
20210531,sg,9609
20210531,si,254053
20210531,za,6909
20210530,ce,33884
20210530,kk,9809
20210530,kp,11261
20210530,kr,26514
20210530,lj,62239
20210530,mb,37919
20210530,ms,15813
20210530,ng,12464
20210530,nm,19512
20210530,po,6129
20210530,sg,9602
20210530,si,253730
20210530,za,6898
20210529,ce,33881
20210529,kk,9807
20210529,kp,11260
20210529,kr,26509
20210529,lj,62205
20210529,mb,37895
20210529,ms,15804
20210529,ng,12464
20210529,nm,19512
20210529,po,6129
20210529,sg,9598
20210529,si,253639
20210529,za,6892
20210528,ce,33867
20210528,kk,9791
20210528,kp,11258
20210528,kr,26499
20210528,lj,62151
20210528,mb,37877
20210528,ms,15792
20210528,ng,12462
20210528,nm,19505
20210528,po,6129
20210528,sg,9596
20210528,si,253502
20210528,za,6892
20210527,ce,33835
20210527,kk,9784
20210527,kp,11245
20210527,kr,26451
20210527,lj,62017
20210527,mb,37828
20210527,ms,15778
20210527,ng,12456
20210527,nm,19475
20210527,po,6117
20210527,sg,9593
20210527,si,253146
20210527,za,6889
20210526,ce,33809
20210526,kk,9774
20210526,kp,11229
20210526,kr,26422
20210526,lj,61918
20210526,mb,37783
20210526,ms,15766
20210526,ng,12448
20210526,nm,19457
20210526,po,6106
20210526,sg,9588
20210526,si,252857
20210526,za,6885
20210525,ce,33784
20210525,kk,9762
20210525,kp,11215
20210525,kr,26386
20210525,lj,61789
20210525,mb,37725
20210525,ms,15752
20210525,ng,12427
20210525,nm,19438
20210525,po,6080
20210525,sg,9582
20210525,si,252490
20210525,za,6881
20210524,ce,33733
20210524,kk,9743
20210524,kp,11192
20210524,kr,26351
20210524,lj,61644
20210524,mb,37678
20210524,ms,15737
20210524,ng,12417
20210524,nm,19423
20210524,po,6069
20210524,sg,9580
20210524,si,252099
20210524,za,6867
20210523,ce,33692
20210523,kk,9728
20210523,kp,11172
20210523,kr,26327
20210523,lj,61560
20210523,mb,37635
20210523,ms,15729
20210523,ng,12402
20210523,nm,19399
20210523,po,6046
20210523,sg,9566
20210523,si,251776
20210523,za,6857
20210522,ce,33689
20210522,kk,9727
20210522,kp,11172
20210522,kr,26322
20210522,lj,61524
20210522,mb,37616
20210522,ms,15718
20210522,ng,12401
20210522,nm,19398
20210522,po,6046
20210522,sg,9561
20210522,si,251692
20210522,za,6856
20210521,ce,33679
20210521,kk,9721
20210521,kp,11171
20210521,kr,26313
20210521,lj,61450
20210521,mb,37596
20210521,ms,15711
20210521,ng,12387
20210521,nm,19394
20210521,po,6046
20210521,sg,9556
20210521,si,251535
20210521,za,6849
20210520,ce,33646
20210520,kk,9716
20210520,kp,11138
20210520,kr,26277
20210520,lj,61327
20210520,mb,37545
20210520,ms,15698
20210520,ng,12372
20210520,nm,19365
20210520,po,6025
20210520,sg,9553
20210520,si,251153
20210520,za,6834
20210519,ce,33619
20210519,kk,9707
20210519,kp,11119
20210519,kr,26234
20210519,lj,61229
20210519,mb,37510
20210519,ms,15683
20210519,ng,12353
20210519,nm,19340
20210519,po,6012
20210519,sg,9549
20210519,si,250822
20210519,za,6814
20210518,ce,33579
20210518,kk,9696
20210518,kp,11105
20210518,kr,26202
20210518,lj,61131
20210518,mb,37443
20210518,ms,15661
20210518,ng,12343
20210518,nm,19304
20210518,po,5996
20210518,sg,9547
20210518,si,250465
20210518,za,6807
20210517,ce,33527
20210517,kk,9676
20210517,kp,11069
20210517,kr,26151
20210517,lj,60967
20210517,mb,37373
20210517,ms,15635
20210517,ng,12310
20210517,nm,19265
20210517,po,5973
20210517,sg,9538
20210517,si,249927
20210517,za,6793
20210516,ce,33463
20210516,kk,9663
20210516,kp,11046
20210516,kr,26086
20210516,lj,60812
20210516,mb,37320
20210516,ms,15621
20210516,ng,12292
20210516,nm,19228
20210516,po,5955
20210516,sg,9532
20210516,si,249430
20210516,za,6768
20210515,ce,33457
20210515,kk,9660
20210515,kp,11046
20210515,kr,26066
20210515,lj,60780
20210515,mb,37289
20210515,ms,15615
20210515,ng,12287
20210515,nm,19227
20210515,po,5954
20210515,sg,9530
20210515,si,249317
20210515,za,6764
20210514,ce,33427
20210514,kk,9650
20210514,kp,11043
20210514,kr,26044
20210514,lj,60659
20210514,mb,37248
20210514,ms,15600
20210514,ng,12267
20210514,nm,19212
20210514,po,5952
20210514,sg,9522
20210514,si,249024
20210514,za,6761
20210513,ce,33384
20210513,kk,9638
20210513,kp,11011
20210513,kr,25985
20210513,lj,60520
20210513,mb,37171
20210513,ms,15579
20210513,ng,12241
20210513,nm,19174
20210513,po,5929
20210513,sg,9518
20210513,si,248529
20210513,za,6741
20210512,ce,33314
20210512,kk,9622
20210512,kp,10998
20210512,kr,25947
20210512,lj,60419
20210512,mb,37120
20210512,ms,15566
20210512,ng,12216
20210512,nm,19132
20210512,po,5909
20210512,sg,9508
20210512,si,248057
20210512,za,6733
20210511,ce,33251
20210511,kk,9605
20210511,kp,10960
20210511,kr,25895
20210511,lj,60260
20210511,mb,37024
20210511,ms,15535
20210511,ng,12182
20210511,nm,19084
20210511,po,5891
20210511,sg,9490
20210511,si,247459
20210511,za,6714
20210510,ce,33156
20210510,kk,9574
20210510,kp,10918
20210510,kr,25802
20210510,lj,60077
20210510,mb,36918
20210510,ms,15500
20210510,ng,12145
20210510,nm,19038
20210510,po,5856
20210510,sg,9479
20210510,si,246730
20210510,za,6705
20210509,ce,33079
20210509,kk,9561
20210509,kp,10896
20210509,kr,25753
20210509,lj,59967
20210509,mb,36856
20210509,ms,15492
20210509,ng,12112
20210509,nm,18998
20210509,po,5838
20210509,sg,9454
20210509,si,246240
20210509,za,6674
20210508,ce,33074
20210508,kk,9557
20210508,kp,10895
20210508,kr,25729
20210508,lj,59931
20210508,mb,36824
20210508,ms,15467
20210508,ng,12108
20210508,nm,18993
20210508,po,5838
20210508,sg,9449
20210508,si,246094
20210508,za,6669
20210507,ce,33048
20210507,kk,9548
20210507,kp,10895
20210507,kr,25713
20210507,lj,59820
20210507,mb,36765
20210507,ms,15446
